address,Receive,Receive_USD,First_Receive_Date,Spend,Spend_USD,Last_Spend_Date,Balance,Balance_USD
1C9FbZNobgbnETykAgTd2hNur1zsnToyDS,0.70083892,29646.01351,1/6/2022,0.70083892,29646.2625,1/14/2022,0,-0.248991519
1DKBWeFdvymMDgTYyz11tYqw4aDpNwpH3K,3.06684405,131478.9327,12/30/2021,3.06684405,131115.0522,2/7/2022,0,363.8805221
1DhFbysCjpxnfww5gpfY7S8tqQ7MmVdxvt,5.65772194,272519.5527,9/11/2021,5.65772194,274713.3855,2/27/2022,0,-2193.832768
1DvJyE4fitRmAb92htqmTnNrZ774oWENt,1.80909372,112883.1339,11/2/2021,1.80903793,112731.5675,11/17/2021,5.58E-05,151.5663572
1HWtrgGRQ1NwLiYyXHjpTD2E4hnqtitw8h,0.29061397,12540.46386,1/14/2022,0.29061397,12493.45068,1/20/2022,0,47.01318221
1NtEfNDTyoqp2iJHjFyWhPDb2c9uBnD8Tg,0.37757015,16092.05392,1/11/2022,0.37757015,16017.8886,2/11/2022,0,74.16531543
1PAZcb4DTF2r4c9g6sHA3rND8UWmVDqkvN,0.41807853,17583.61591,12/13/2021,0.41803803,17677.10981,2/28/2022,4.05E-05,-93.49390402
322LQ4796TJn32CzaJHQSJzdz4Ra8EvtEh,4.1635503,241346.1714,9/1/2021,4.1635503,244756.6502,11/14/2021,0,-3410.478842
33VoumvP1EvaeELR4JQi3YYd3cp3HkyjT3,5.4416716,325839.2392,11/18/2021,5.4416716,325551.8296,11/18/2021,0,287.4095379
33VqBhdkkGJejJKHvuE4FPS3fKxCkc4TUQ,64.30055151,2958766.383,12/28/2021,64.30055151,2956153.319,3/2/2022,0,2613.064383
346K1GKiaSdAgauB26MmaLYRhjrTgzkHBa,2.40438998,48007.44511,7/14/2022,2.40438998,46133.95353,10/11/2022,0,1873.491573
34mkH54tqpYMpaDMSaT6GQs4uqSpwXBYhv,0.13875,4844.178208,6/29/2021,0.13875,4863.305654,6/29/2021,0,-19.12744629
35YKfFuHko8kvxHCZAjqXpwSbqXPo9JAbp,3.65633112,153373.6024,1/23/2022,3.65633112,153511.458,4/2/2022,0,-137.8555993
36oX5kCsdRZYqSFAsfQKPeiiL1uTejDYdY,2.68376691,125720.3553,9/16/2021,2.68376691,125740.1511,10/6/2021,0,-19.79577016
3ApAb4uNDqA8zzNMHvGc5PofLpZedQSjJ4,70.7992323,2752109.851,12/12/2021,70.7992323,2744192.886,7/4/2022,0,7916.964887
3C6oDpdVrKNU7t2wRLySq9A31s3npQhxQQ,1.50651351,92504.5415,10/8/2021,1.50651351,92834.66103,11/16/2021,0,-330.1195373
3C9iRrSHVxSjwNUZ6eGs7DuipoaJGCWskD,2.54554574,65850.92938,1/7/2022,2.54554574,65140.95439,12/23/2022,0,709.9749831
3CScsWJGFugkLFaLCwPTpFXjCjfr9jhuir,0.29388766,13213.70029,1/3/2022,0.29388766,12598.43579,1/21/2022,0,615.2645015
3CTbMa15u4P8mEBUzPG9wiN1LbdefSYctk,97.59293502,4696777.949,12/2/2021,97.59293502,4691548.295,1/6/2022,0,5229.654442
3DQDJNSnt6Jwqosof6pJ17iRumd4X6KFn9,1.17779153,56343.65567,7/30/2021,1.17779153,56312.08826,10/15/2021,0,31.56741028
3DngghvLTT4MzhP87K5DyZXFk3QC8RFd2U,0.42672159,19824.72837,12/7/2021,0.42672159,17641.07633,2/17/2022,0,2183.652041
3F1CJqSJdYnPWFNeosBqFzTVLeCrteN5i5,0.03004581,1481.961763,8/17/2021,0.03004581,1468.210787,12/13/2021,0,13.75097627
3Fz8X3EbKJNSTbyrLzzK9J1HEn3xaMP3db,3.30675689,200579.7911,11/1/2021,3.30675689,189046.7947,12/16/2021,0,11532.99643
3HFsKVurR9WbnArL9Y87do6pYpDUzfjdJ7,9.18552192,401241.7384,12/27/2020,9.18551098,401038.6675,7/5/2021,1.09E-05,203.0708844
3HVSHuxMa8Mss62pemxBG1JChRQJimtArf,0.01729056,1061.051892,10/28/2021,0.01729056,1089.576728,11/3/2021,0,-28.52483666
3HyVKc62GEtt3UEhDSeEgBB2p7M8wr6ZyD,0.48713456,22687.36353,12/30/2021,0.48713456,22698.65135,12/30/2021,0,-11.28782113
3JMeosNyPnsMxqBDLBxoUESbyfmLnKpg7N,0.86246932,52757.74692,10/17/2021,0.86246932,52757.74692,10/17/2021,0,0
3JYBtFw3LPP7QKEMGvNFNSv8Urn4povBy9,7.94741734,324195.3345,11/20/2021,7.94717202,327554.8777,3/25/2022,0.00024532,-3359.543206
3KgsnhphQfsKNh2tZidc1cWFDoAC4XnVkR,4.64308327,227276.2141,12/13/2021,4.64308327,227276.2141,12/22/2021,0,0
