Scam_Platform,Syndicate_group,Address_L0,CrytoType,domain,parent_domain
h5.uniswapx3.com,Uniswap,0x6c75b9e4e12adcce3080b82f53b04191a62c9110,ETH-USDT,h5.uniswapx3.com,uniswapx3.com
h5.uniswapx3.com,Uniswap,0x50f75c05cbce536ba357aedb2819d0b78dbd7aa7,ETH-USDT,h5.uniswapx3.com,uniswapx3.com
h5.uniswapx3.com,Uniswap,0x87d3716800535611b224a80a935769b6f932706a,ETH-USDT,h5.uniswapx3.com,uniswapx3.com
h5.uniswapx3.com,Uniswap,3MXm6YrsGukkFTZowChDHSmXqc6FR4zo6H,BTC,h5.uniswapx3.com,uniswapx3.com
h5.uniswapx3.com,Uniswap,0xCc20ba79921b29ff6cEf85825267d85EcC0d9dD0,ETH-USDT,h5.uniswapx3.com,uniswapx3.com
"www.biki111.com
https//www.pkexss.vip/download-en.aspx",Cloudfront,0x1EFe0d8dB79228f78FDdAD94535F002BFF58338A,ETH-USDT,"biki111.com
https","biki111.com
https"
https://user.suntonfx.com/signup/H0215967-A02,Sunton,3LqpJvEZrR7zfLYeRxFzH9DjKHVSiufWBd,BTC,user.suntonfx.com,suntonfx.com
https://user.suntonfx.com/signup/H0215967-A02,Sunton,0x4B4B5FedC0CbdFaFb6b7b3E6bCBDe038adf88293,ETH-USDT,user.suntonfx.com,suntonfx.com
https://user.suntonfx.com/signup/H0215967-A02,Sunton,3BuQ9we7QxGpkNe1pPfAUkdGjQppyWDaVw,BTC,user.suntonfx.com,suntonfx.com
https://user.suntonfx.com/signup/H0215967-A02,Sunton,3LPekqqtG1Zd2BtgSM7UZVaEd478zHZcsV,BTC,user.suntonfx.com,suntonfx.com
https://user.suntonfx.com/signup/H0215967-A02,Sunton,3BHLEzD3ftqG7aZYxKout3rALidaqMkb3B,BTC,user.suntonfx.com,suntonfx.com
https://user.suntonfx.com/signup/H0215967-A02,Sunton,1LokkumUBuWn3xTFBKdvN1ftGh4GcvjKye,BTC,user.suntonfx.com,suntonfx.com
https://user.suntonfx.com/signup/H0215967-A02,Sunton,0x4d4cbac2addbed9bb4e32af08f426367fcbfb431,ETH-USDT,user.suntonfx.com,suntonfx.com
www.sgxbul.com,hb_group,0xe9d5e887390B062f139a2B6E4b1bddd322068f41,ETH-USDT,sgxbul.com,sgxbul.com
www.sgxbul.com,hb_group,0xD77985d91DF82255A85dfc7c6f149f1CE49402c3,ETH-USDT,sgxbul.com,sgxbul.com
www.sgxbul.com,hb_group,0x0c95340201e7b39044dA527D5d21886e3F4aa145,ETH-USDT,sgxbul.com,sgxbul.com
huitongcaifu.net,hb_group,0x6E53928d00d43E5357e290A98a1170c9EcD584a7,ETH-USDT,huitongcaifu.net,huitongcaifu.net
huitongcaifu.net,hb_group,0x5De0AC8c0ADeF06b0AF1ba5ba51A967e7564343c,ETH-USDT,huitongcaifu.net,huitongcaifu.net
huitongcaifu.net,hb_group,0xb2aa660576bb291102745231758ad081f5e31de2,ETH-USDT,huitongcaifu.net,huitongcaifu.net
huitongcaifu.net,hb_group,TDATw9XYxRHfH1Gq5XjmGoxAbb73GD534s,TRON_USDT-TRN,huitongcaifu.net,huitongcaifu.net
huitongcaifu.net,hb_group,TGwMM5GtsPeDWbeB3rFD7XMKtEEVjN9k24,TRON_USDT-TRN,huitongcaifu.net,huitongcaifu.net
huitongcaifu.net,hb_group,TKYDVcdjsmX5r4EVce64hHTchci2UsF5bP,TRON_USDT-TRN,huitongcaifu.net,huitongcaifu.net
huitongcaifu.net,hb_group,THNpkpvd1pYdma8r9jnmcFsMpUvymzhTaZ,TRON_USDT-TRN,huitongcaifu.net,huitongcaifu.net
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",FGLines,TKzSgt6zogXWQGqf46boMNAzy3ARBzW8zy,TRON_USDT-TRN,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",FGLines,TPCV7WhnfSVzNp5RHUNgq46CFzbuJ91EtR,TRON_USDT-TRN,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",FGLines,TUQCZpLhDbwnA3amVGpBoFaQ64o1XimFFs,TRON_USDT-TRN,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",MT5,0x8EB9E03C3392263Dd0F90A2E00e1aEc8D262032D,ETH-USDT,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",MT5,0xd15be6ee27b0a68fbebd7eae5256d889b4c8b660,ETH-USDT,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",MT5,0xc73961EA9DD673Bf43f2CEfE30BD5720B119E893,ETH-USDT,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",MT5,0x5Bcffe1114849C12c6A70be93Eebd4428b740444,ETH-USDT,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",MT5,0x96C997E58A95E5f1b9DB865a5570C9f4B629c614,ETH-USDT,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",MT5,0xa7b4ac2fd1d585aae544baad5780b6c0702d39fe,ETH-USDT,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",MT5,0x94e3b8329F4976587CE03473756BcfEF7c8dF574,ETH-USDT,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",MT5,0x5bcffe1114849c12c6a70be93eebd4428b740444,ETH-USDT,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",MT5,3BHLEzD3ftqG7aZYxKout3rALidaqMkb3B,BTC,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",MT5,3LcW5MfbLwHayuHRL2jJeQN8AXGWC4Bv6Xk,BTC,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",MT5,3BuQ9we7QxGpkNe1pPfAUkdGjQppyWDaVw,BTC,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",MT5,32fazB2kw9dk1AZb56sgvVYp1waf49DqtR,BTC,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",MT5,0xdd87d1129f7308c508bbc5b52462f8196090c1c3,ETH-USDT,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",MT5,0x42ad35a1bf86e9ad3edbd2498fe02c100cdf26ff,ETH-USDT,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",MT5,0x999D1cD5F3999D46bE644dd6E2B0C257962B5dDc,ETH-USDT,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",MT5,0x6A5f8b7AcFD88Ab6962Eadbd8b72Fd422c8b7641,ETH-USDT,"zbweb01.com
 https","zbweb01.com
 https"
"https://www.zbweb01.com
 https://www.lakeweb68.com
 https://cnquja.com/rpccebdx",MT5,0x4574700Ddfd7a93e77402A1ab91F89200e347BBf,ETH-USDT,"zbweb01.com
 https","zbweb01.com
 https"
http://www.fhbinvest.com,Sunton,0x413ca2E1FA8a72420463D7b59229D0B8ccCd9191,ETH-USDT,fhbinvest.com,fhbinvest.com
http://www.fhbinvest.com,Sunton,0xCF83e5D8Ffc4b564b7d8ef9F8e34D948f474A2c0,ETH-USDT,fhbinvest.com,fhbinvest.com
http://www.fhbinvest.com,Sunton,0x710C36f8F370939e2a1D5f07fDbA1DF3AFd386dC,ETH-USDT,fhbinvest.com,fhbinvest.com
http://www.fhbinvest.com,Sunton,0x4d98fb4964c532e80a43BA2089146Ce4dc0eCbc2,ETH-USDT,fhbinvest.com,fhbinvest.com
http://www.fhbinvest.com,Sunton,0x6e12a377ae110214eebf25b249b88f383482137e,ETH-USDT,fhbinvest.com,fhbinvest.com
